id_transacao,valor,hora_transacao,categoria,metodo_pagamento,localizacao,fraude
94676,1795.26,2025-03-19 09:10:36,Restaurante,cartao_debito,Gomes Paulista,0
90444,3100.26,2025-03-21 15:48:54,Supermercado,cartao_credito,Rios Alegre,0
16184,1639.91,2025-03-19 20:40:31,Eletrônicos,cartao_credito,Pinto,0
56378,530.6,2025-03-17 12:07:15,Restaurante,cartao_debito,Cavalcante da Praia,0
41947,1833.98,2025-03-19 21:16:00,Eletrônicos,cartao_credito,Moreira da Mata,0
19207,3325.88,2025-03-19 22:38:39,Supermercado,cartao_debito,Pimenta de Pinto,0
65298,2455.91,2025-03-20 09:36:13,Compra Online,cartao_credito,Barros,0
87926,2293.52,2025-03-19 04:12:36,Supermercado,cartao_debito,Carvalho das Flores,0
13582,503.3,2025-03-20 01:50:08,Eletrônicos,pix,Sampaio de Nunes,0
28840,4509.41,2025-03-17 01:55:04,Restaurante,cartao_debito,da Conceição,0
53463,1257.22,2025-03-20 16:55:11,Restaurante,cartao_debito,Rios de Goiás,0
29462,150.6,2025-03-21 13:57:56,Supermercado,cartao_credito,da Costa,0
30959,3679.11,2025-03-22 04:56:52,Supermercado,boleto,Pires,0
93145,3706.64,2025-03-19 05:40:17,Compra Online,pix,Gomes de Pastor,1
16716,454.78,2025-03-16 11:17:09,Supermercado,cartao_credito,Lima Grande,0
27959,361.92,2025-03-17 14:09:06,Compra Online,pix,Viana,0
85949,3768.02,2025-03-21 22:33:19,Restaurante,boleto,Lopes da Serra,0
87452,56.2,2025-03-16 07:48:04,Supermercado,cartao_debito,Fonseca,1
94756,3072.6,2025-03-17 22:35:20,Supermercado,pix,Santos,0
21553,1390.37,2025-03-22 02:04:28,Compra Online,cartao_debito,Ferreira do Campo,0
86060,2793.16,2025-03-21 21:00:42,Supermercado,cartao_debito,Garcia,0
34718,2514.84,2025-03-16 06:37:35,Eletrônicos,cartao_debito,Fonseca,0
93189,3323.81,2025-03-16 14:20:13,Restaurante,cartao_debito,da Cunha Verde,0
88749,3958.3,2025-03-20 02:31:44,Restaurante,boleto,Abreu,0
16767,1593.08,2025-03-20 12:52:22,Restaurante,pix,Pastor,0
51934,3985.91,2025-03-21 01:43:16,Restaurante,cartao_credito,Duarte,0
17780,4168.27,2025-03-18 17:36:08,Eletrônicos,cartao_credito,Vargas de Minas,0
61577,2798.45,2025-03-19 12:09:22,Viagem,cartao_credito,Martins,0
73742,4146.92,2025-03-15 20:45:35,Restaurante,cartao_credito,Ferreira Paulista,0
76166,4692.16,2025-03-17 23:02:07,Compra Online,boleto,Câmara de Pacheco,0
37506,1358.19,2025-03-19 05:32:06,Restaurante,cartao_credito,Nunes,1
67954,4101.12,2025-03-18 07:35:22,Supermercado,cartao_credito,Jesus Alegre,0
45724,1063.82,2025-03-18 12:46:34,Supermercado,cartao_credito,Gonçalves Verde,0
17061,3652.56,2025-03-17 12:28:50,Supermercado,cartao_credito,Cavalcanti,0
58599,4366.96,2025-03-18 19:14:17,Restaurante,boleto,Porto,0
52553,635.36,2025-03-16 09:24:22,Restaurante,boleto,Costela de Moraes,0
16579,3138.16,2025-03-17 16:14:18,Eletrônicos,boleto,Rios de Minas,0
41046,358.74,2025-03-18 14:00:57,Compra Online,cartao_credito,Ramos,0
60878,2598.67,2025-03-20 20:35:10,Restaurante,cartao_debito,Barros,0
10920,3236.49,2025-03-20 04:12:42,Eletrônicos,boleto,da Rosa,1
83747,4630.61,2025-03-17 05:37:49,Compra Online,boleto,Sampaio,0
63232,2390.6,2025-03-19 00:10:18,Compra Online,cartao_credito,Mendonça,0
94362,186.06,2025-03-17 01:07:54,Compra Online,cartao_credito,da Cruz,0
88213,2412.67,2025-03-20 21:52:58,Restaurante,cartao_debito,Montenegro,0
75090,2279.85,2025-03-17 10:02:27,Eletrônicos,pix,Montenegro,0
19647,4169.93,2025-03-17 14:18:08,Viagem,pix,Martins de Souza,1
55658,3063.63,2025-03-18 11:30:05,Compra Online,cartao_debito,Freitas de Aparecida,0
30573,1989.95,2025-03-19 13:39:33,Supermercado,pix,Cardoso de Machado,0
36468,450.52,2025-03-19 13:57:14,Restaurante,cartao_debito,Campos de Peixoto,0
68171,2585.12,2025-03-21 18:46:38,Supermercado,cartao_credito,Correia de Nogueira,0
